name,predicate,strategy,bugs,initial-scc,scc,initial-classes,classes,initial-bytes,bytes,initial-lines,lines,iters,searches,setup-time,time,status,verify,flaky
url0541656d60_Hexiaoqiao_leetcode,cfr,jreduce,2,0,1,195,1,242555,2549,0,0,11,1,0.0,68.05165542499999,success,success,False
url0541656d60_Hexiaoqiao_leetcode,procyon,classes,1,146,1,195,2,203346,8169,8229,316,9,1,15.68880491,138.607348937,success,success,False
url0541656d60_Hexiaoqiao_leetcode,procyon,items+graph+first,1,1350,1,195,1,203346,1379,8229,55,12,1,26.04397138,199.313267322,success,success,False
url0541656d60_Hexiaoqiao_leetcode,procyon,items+graph+last,1,1350,1,195,1,203346,1379,8229,55,12,1,22.317706291,171.14610102299997,success,success,False
url0541656d60_Hexiaoqiao_leetcode,procyon,items+logic,1,1698,5,195,1,203346,1379,8229,55,13,0,25.714666871,133.12145620799998,success,success,False
url0541656d60_Hexiaoqiao_leetcode,procyon,jreduce,1,0,1,195,2,242555,9262,0,0,10,1,0.0,165.28141452399998,success,success,False
url0882431b0f_prashand_Project_LMS_2,cfr,classes,11,92,10,184,104,314308,180908,6648,3925,77,10,11.913340935,948.3298557530001,success,success,False
url0882431b0f_prashand_Project_LMS_2,cfr,items+graph+first,11,1849,11,184,38,314308,65616,6648,1006,130,11,22.299315657,1389.8892144180002,success,success,False
url0882431b0f_prashand_Project_LMS_2,cfr,items+graph+last,11,1845,12,184,37,314308,67032,6648,1061,143,12,22.233582902,1628.427900009,success,0091,False
url0882431b0f_prashand_Project_LMS_2,cfr,items+logic,11,2873,436,184,34,314308,65000,6648,986,111,0,26.578646445,963.4517498629999,success,success,False
url0882431b0f_prashand_Project_LMS_2,cfr,jreduce,11,0,10,184,104,354649,204705,0,0,78,10,0.0,784.1460432339999,success,success,False
url0882431b0f_prashand_Project_LMS_2,procyon,classes,4,92,1,184,11,314308,22897,6483,653,8,1,18.719680184,139.356582323,success,success,False
url0882431b0f_prashand_Project_LMS_2,procyon,items+graph+first,4,1849,2,184,5,314308,3726,6483,113,25,2,24.938568413,257.516775295,success,success,False
url0882431b0f_prashand_Project_LMS_2,procyon,items+graph+last,4,1845,3,184,5,314308,3988,6483,127,37,3,32.612722951,450.11014553,success,0004,False
url0882431b0f_prashand_Project_LMS_2,procyon,items+logic,4,2873,35,184,5,314308,3500,6483,102,25,0,30.727133425,476.87872676,success,success,False
url0882431b0f_prashand_Project_LMS_2,procyon,jreduce,4,0,1,184,11,354649,25931,0,0,9,1,0.0,118.049607384,success,success,False
url0a1e70e46d_Guillefren_DirectMarket,cfr,classes,13,23,5,124,82,195361,138478,4022,3061,30,5,10.545689918,270.665242354,success,success,False
